"FAST School of Computing, NUCES, Islamabad",,,,,,,,,
"Allocation of Computing Theory Courses, Spring-2023",,,,,,,,,
S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator,,,
,CS-2005,Database Systems (SE),3,SE-4P,Ms. Hina Binte Haq,Ms. Hina Binte Haq,,,
,,,,SE-4Q,Dr. Javeria Imtiaz,,,,
,SE-2002,Software Design and Architecture (SE),3,SE-4P,Dr. Uzair Khan,Dr. Atif Aftab Jilani,,,
,,,,SE-4Q,Dr. Atif Aftab Jilani,,,,
,SE-4032,Business Process Engineering (SE Supporting - I),3,SE-4P,Dr. Behjat Zuhaira,Dr. Behjat Zuhaira,,,
,,,,SE-4Q,Dr. Behjat Zuhaira,,,,
,CS-4075,Cloud Computing,3,CY-4T,Dr. Mudassar Aslam,Dr. Mudassar Aslam,,,
,CS-2004,Fundamentals of Software Engineering (CY),3,CY-4T,Ms. Uzma Mahar,Ms. Uzma Mahar,,,
,CS-3001,Computer Networks (CY),3,CY-4T,Dr. Muhammad Asim,Dr. Muhammad Asim,,,
BS Batch 2021 and Earlier Batches Repeat Course,,,,,,,,,
,CS-2001,Data Structures (All Programs),3,A,Ms. Madiha Umar,Ms. Amna Irum,,,
,,,,B,Ms. Urooj Ghani,,,,
,,,,C,Ms. Amna Irum,,,,
,,,,D,Mr. Bilal Khalid Dar,,,,
,,,,E,Mr. Rohail Gulbaz,,,,
,,,,F,Mr. Rohail Gulbaz,,,,
,,,,G,Ms. Madiha Umar,,,,
BS Batch 2021 and Earlier Batches Repeat Course,,,,,,,,,
,DS-2001,Introduction to Data Science,3,DS-A,Dr. Ramoza Ahsan,Dr. Ramoza Ahsan,,,
BS Batch 2020,,,,,,,,,
,CS-3009,Software Engineering (CS),3,CS-6A,Ms. Sidra Khalid,Ms. Sidra Khalid,,,
,,,,CS-6B,Ms. Sidra Khalid,,,,
,,,,CS-6C,Dr. Ejaz Ahmed,,,,
,,,,CS-6D,Dr. Ejaz Ahmed,,,,
,,,,CS-6E,Dr. Noreen Jamil,,,,
,,,,CS-6F,Dr. Noreen Jamil,,,,
,CS-3006,Parallel and Distributed Computing (CS),3,CS-6A,Dr. Muhammad Arshad Islam,Dr. Muhammad Aleem,,,
,,,,CS-6B,Dr. Muhammad Arshad Islam,,,,
,,,,CS-6C,Ms. Madiha Umar,,,,
,,,,CS-6D,Ms. Madiha Umar,,,,
,,,,CS-6E,Dr. Muhammad Aleem,,,,
,,,,CS-6F,Dr. Muhammad Aleem,,,,
,AI-2002,Artificial Intelligence (CS),3,CS-6A,Mr. Saad Salman,Mr. Saad Salman,,,
,,,,CS-6B,Mr. Saad Salman,,,,
,,,,CS-6C,Mr. Saad Salman,,,,
,,,,CS-6D,Mr. Owais Idrees,,,,
,,,,CS-6E,Dr. Labiba Fahad,,,,
,,,,CS-6F,Dr. Labiba Fahad,,,,
,MT-2002,Statistical Modelling,3,CS-6A,Dr. Shahzad Saleem (EE),Dr. Mukhtar Ullah (EE),,,
,,,,CS-6B,Mr. Muhammad Almas Khan,,,,
,,,,CS-6C,Mr. Muhammad Almas Khan,,,,
,,,,CS-6D,Dr. Shahzad Saleem (EE),,,,
,,,,CS-6E,Mr. Muhammad Almas Khan,,,,
,,,,CS-6F,Dr. Mukhtar Ullah (EE),,,,
,AI-3003,Artificial Neural Networks (AI),3,AI-6J,Mr. Hassan Raza,Mr. Hassan Raza,,,
,,,,AI-6K,Mr. Hassan Raza,,,,
,CS-3001,Computer Networks (AI),3,AI-6J,Dr. Usman Habib,Dr. Usman Habib,,,
,,,,AI-6K,Dr. Usman Habib,,,,
,CS-3006,Parallel and Distributed Computing (AI),3,AI-6J,Ms. Humera Sabir,Ms. Humera Sabir,,,
,,,,AI-6K,Ms. Humera Sabir,,,,
,AI-4001,Fundamentals of Natural Language Processing (AI),3,AI-6J,Dr. Omer Beg,Mr. Umair Arshad,,,
,,,,AI-6K,Mr. Umair Arshad,,,,
,CS-4055,Digital Image Processing (AI Elective-1),3,AI-6J,Dr. Mohsin Bilal,Dr. Mohsin Bilal,,,
,,,,AI-6K,Dr. Mohsin Bilal,,,,
,AI-2002,Artificial Intelligence (DS),3,DS-6N,Mr. Umair Arshad,Mr. Umair Arshad,,,
,CS-3006,Parallel and Distributed Computing (DS),3,DS-6N,Dr. Qaiser Shafi,Dr. Qaiser Shafi,,,
,DS-3002,Data Mining (DS),3,DS-6N,Dr. Asif Naeem,Dr. Asif Naeem,,,
,CS-4032,Web Programming (DS-Elective 1),3,DS-6N,Mr. Asif Muhammad,Mr. Asif Muhammad,,,
,SE-3003,Web Engineering (SE),3,SE-6P,Mr. Zaheer Sani,Mr. Zaheer Sani,,,
,,,,SE-6Q,Mr. Zaheer Sani,,,,
,,,,SE-6R,Mr. Zaheer Sani,,,,
,,,,SE-6S,Mr. Irfan Ullah,,,,
,CS-3001,Computer Networks (SE),3,SE-6P,Mr. Abdullah Abid,Mr. Abdullah Abid,,,
,,,,SE-6Q,Mr. Abdullah Abid,,,,
,,,,SE-6R,Mr. Abdullah Abid,,,,
,,,,SE-6S,Mr. Mehmood ul Hassan,,,,
,CS-3002,Information Security (SE),3,SE-6P,Ms. Hina Binte Haq,Ms. Hina Binte Haq,,,
,,,,SE-6Q,Dr. Mudassar Aslam,,,,
,,,,SE-6R,Dr. Zainab Abad,,,,
,,,,SE-6S,Ms. Hina Binte Haq,,,,
,AI-4007,Applied Artificial Intelligence (SE Elective - I),3,SE-6P,Ms. Shahela Saif,Ms. Shahela Saif,,,
,,,,SE-6Q,Ms. Shahela Saif,,,,
,,,,SE-6R,Ms. Shahela Saif,,,,
,,,,SE-6S,Mr. Saad Salman,,,,
,SE-4009,Process Mining and Simulation (SE Supporting-III),3,SE-6P,Mr. Irfan Ullah, ,,,
,,,,SE-6Q,Mr. Irfan Ullah,,,,
,,,,SE-6R,Dr. Naveed Ahmad,,,,
,,,,SE-6S,Dr. Naveed Ahmad,,,,
,AI-2002,Artificial Intelligence (CY),3,CY-6T,Mr. Shoaib Saleem,Mr. Shoaib Saleem,,,
